Timestamp,Your Phone,Your 4 digit ID,Quantity,Location,Measurement Value (db or lux)
1/20/2020 15:53:49,iPhone (all models),0987,"Sound pressure level, SPL(dBA)",GIX Woodshop: No machines (SPL only),45.3
1/20/2020 15:56:00,iPhone (all models),0987,"Sound pressure level, SPL(dBA)","GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",91.6
1/20/2020 15:57:09,iPhone (all models),0987,"Sound pressure level, SPL(dBA)",GIX Woodshop: Drill (SPL Only from omerating position),85.7
1/20/2020 16:00:34,iPhone (all models),0987,"Sound pressure level, SPL(dBA)","GIX Woodshop: Dust Collector  (SPL Only, measure from table saw operating pos.)",84.6
1/20/2020 23:52:56,Android (all models),5402,Light Flux,your bed at night,4
1/20/2020 23:53:07,Android (all models),5402,Light Flux,your bed at night,6
1/20/2020 23:53:17,Android (all models),5402,Light Flux,your bed at night,10
1/21/2020 0:02:15,Android (all models),8786,Light Flux,your bed at night,6
1/21/2020 0:02:42,Android (all models),8786,Light Flux,your bed at night,1
1/21/2020 0:03:08,Android (all models),8786,Light Flux,your bed at night,1
1/21/2020 1:44:01,Android (all models),8268,"Sound pressure level, SPL(dBA)",your bed at night,10
1/21/2020 3:25:10,iPhone (all models),0987,"Sound pressure level, SPL(dBA)",your bed at night,26.7
1/21/2020 4:46:25,Android (all models),6310,Light Flux,your bed at night,5
1/21/2020 4:46:46,Android (all models),6310,Light Flux,breakfast table,220
1/21/2020 4:47:49,Android (all models),6310,Light Flux,Starbucks at a table,312
1/21/2020 4:48:12,Android (all models),6310,Light Flux,In class (on writing desk),167
1/21/2020 4:48:24,Android (all models),6310,Light Flux,Outdoors by GIX: Sunny,334
1/21/2020 4:48:38,Android (all models),6310,Light Flux,Outdoors by GIX: Cloudy,155
1/21/2020 4:48:55,Android (all models),6310,Light Flux,In the car,15
1/21/2020 4:49:15,Android (all models),6310,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",201
1/21/2020 10:11:00,Android (all models),8268,"Sound pressure level, SPL(dBA)",Starbucks at a table,46
1/21/2020 10:11:54,Android (all models),8268,Light Flux,Starbucks at a table,461
1/21/2020 10:13:12,Android (all models),8268,"Sound pressure level, SPL(dBA)",In class (on writing desk),35
1/21/2020 10:14:18,Android (all models),8268,Light Flux,In class (on writing desk),701
1/21/2020 10:16:13,Android (all models),8268,"Sound pressure level, SPL(dBA)",Outdoors by GIX: Cloudy,29
1/21/2020 10:17:26,Android (all models),8268,Light Flux,Outdoors by GIX: Cloudy,4639
1/21/2020 10:19:14,Android (all models),8268,"Sound pressure level, SPL(dBA)",In the car,50
1/21/2020 10:21:05,Android (all models),8268,Light Flux,On a bus (while bus is stopped),69
1/21/2020 10:22:39,Android (all models),8268,Light Flux,On a bus (Highway speed),29
1/21/2020 10:40:06,iPhone (all models),0987,"Sound pressure level, SPL(dBA)",breakfast table,33.7
1/21/2020 12:40:07,Android (all models),8268,"Sound pressure level, SPL(dBA)",GIX Woodshop: No machines (SPL only),22
1/21/2020 12:41:08,Android (all models),8268,"Sound pressure level, SPL(dBA)","GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",61
1/21/2020 12:42:12,Android (all models),8268,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",564
1/21/2020 12:43:06,Android (all models),8268,"Sound pressure level, SPL(dBA)","GIX Woodshop: Dust Collector  (SPL Only, measure from table saw operating pos.)",58
1/21/2020 12:43:50,Android (all models),8268,"Sound pressure level, SPL(dBA)",GIX Woodshop: Drill (SPL Only from omerating position),47
1/21/2020 13:08:59,Android (all models),8786,Light Flux,In the car,622
1/21/2020 13:09:21,Android (all models),8786,Light Flux,In the car,694
1/21/2020 13:09:40,Android (all models),8786,Light Flux,In the car,698
1/21/2020 13:10:52,Android (all models),5402,Light Flux,In the car,2285
1/21/2020 13:11:12,Android (all models),8786,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",290
1/21/2020 13:11:13,Android (all models),5402,Light Flux,In the car,2330
1/21/2020 13:11:25,Android (all models),8786,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",440
1/21/2020 13:11:32,Android (all models),5402,Light Flux,In the car,2190
1/21/2020 13:11:39,Android (all models),8786,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",198
1/21/2020 13:12:02,Android (all models),5402,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",519
1/21/2020 13:12:16,Android (all models),5402,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",448
1/21/2020 13:12:29,Android (all models),5402,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",265
1/21/2020 14:03:37,iPhone (all models),1735,"Sound pressure level, SPL(dBA)",Outdoors by GIX: Cloudy,62.2
1/21/2020 14:04:31,iPhone (all models),1735,"Sound pressure level, SPL(dBA)",Starbucks at a table,63.5
1/21/2020 14:04:56,iPhone (all models),1735,"Sound pressure level, SPL(dBA)",In class (on writing desk),55.6
1/21/2020 18:27:12,iPhone (all models),5103,"Sound pressure level, SPL(dBA)",Outdoors by GIX: Cloudy,62.5
1/21/2020 18:28:04,iPhone (all models),5103,"Sound pressure level, SPL(dBA)",On a bus (Highway speed),74.8
1/21/2020 18:28:26,iPhone (all models),5103,"Sound pressure level, SPL(dBA)",On a bus (while bus is stopped),69.6
1/21/2020 18:30:49,iPhone (all models),5103,"Sound pressure level, SPL(dBA)",In the car,71.9
1/21/2020 18:31:12,iPhone (all models),5103,"Sound pressure level, SPL(dBA)",your bed at night,30.8
1/21/2020 18:32:18,iPhone (all models),5103,"Sound pressure level, SPL(dBA)",Outdoors by GIX: Sunny,49.1
1/21/2020 18:32:48,iPhone (all models),5103,"Sound pressure level, SPL(dBA)",Outdoors by GIX: Sunny,65.9
1/21/2020 18:33:41,iPhone (all models),5103,"Sound pressure level, SPL(dBA)",breakfast table,39.4
1/21/2020 20:30:56,iPhone (all models),9848,"Sound pressure level, SPL(dBA)",your bed at night,32.7
1/22/2020 5:18:50,Android (all models),6520,"Sound pressure level, SPL(dBA)",your bed at night,44.4
1/22/2020 5:33:19,Android (all models),6520,"Sound pressure level, SPL(dBA)",Outdoors by GIX: Cloudy,33.2
1/22/2020 7:36:18,Android (all models),6520,"Sound pressure level, SPL(dBA)",On a bus (while bus is stopped),48.5
1/22/2020 7:37:32,Android (all models),6520,"Sound pressure level, SPL(dBA)",On a bus (Highway speed),71.6
1/22/2020 8:20:06,Android (all models),6520,"Sound pressure level, SPL(dBA)","GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",72.2
